route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
106,2,2_100157_6_106_1,Hauptbahnhof,,,,106_1_1,,
106,2,2_100158_2_106_2,Hauptbahnhof,,,,106_1_1,,
106,2,2_100158_4_106_2,Hauptbahnhof,,,,106_1_1,,
481,2,2_100159_2_481_1,Kinderhaus Schulzentrum,,,,481_2_5,,
481,2,2_100159_3_481_1,Sprakel,,,,481_3_5,,
481,2,2_100159_5_481_1,Kinderhaus Schulzentrum,,,,481_2_5,,
481,2,2_100159_6_481_1,Sprakel,,,,481_3_5,,
481,2,2_100159_8_481_1,Kinderhaus Schulzentrum,,,,481_2_5,,
481,2,2_100159_9_481_1,Sprakel,,,,481_3_5,,
487,2,2_100160_2_487_1,Rudolf-Diesel-Straße,,,,487_2_5,,
487,2,2_100160_3_487_1,Gelmer,,,,487_1_5,,
487,2,2_100160_4_487_1,Rudolf-Diesel-Straße,,,,487_2_5,,
487,2,2_100160_5_487_1,Gelmer,,,,487_1_5,,
487,2,2_100160_6_487_1,Rudolf-Diesel-Straße,,,,487_2_5,,
487,2,2_100160_7_487_1,Gelmer,,,,487_1_5,,
487,2,2_100160_8_487_1,Rudolf-Diesel-Straße,,,,487_2_5,,
487,2,2_100160_9_487_1,Gelmer,,,,487_1_5,,
420,2,2_100161_2_420_1,Mecklenbeck Meckmannweg,,,,420_3_5,,
